Durusdinium15234	K08805
Durusdinium114479	K02358
Durusdinium17402	K24509
Durusdinium11060	K09511
Durusdinium823	K01787
Durusdinium33409	K17506
Durusdinium83538	K14841
Durusdinium9558	K03553
Durusdinium100122	K18059
Durusdinium12309	K01921
Durusdinium25159	K14811
Durusdinium45728	K12771
Durusdinium629	K18914
Durusdinium111427	K15042
Durusdinium12657	K24938
Durusdinium71847	K14570
Durusdinium25449	K00616
Durusdinium4007	K14288
Durusdinium109275	K03321
Durusdinium14091	K07126
Durusdinium50664	K09500
Durusdinium11408	K01539
Durusdinium91240	K09493
Durusdinium12226	K00939
Durusdinium6206	K01601
Durusdinium42865	K17424
Durusdinium23388	K17499
Durusdinium62509	K01881
Durusdinium55330	K00586
Durusdinium52672	K08770
Durusdinium12930	K17103
Durusdinium49904	K00901
Durusdinium64508	K01531
Durusdinium20449	K00671
Durusdinium51387	K10758
Durusdinium95777	K14563
Durusdinium71856	K21868
Durusdinium23472	K04567
Durusdinium26702	K01955
Durusdinium19127	K14487
Durusdinium85437	K01510
Durusdinium84757	K10277
Durusdinium21380	K22757
Durusdinium64921	K20360
Durusdinium109337	K20823
Durusdinium95624	K03535
Durusdinium111882	K23164
Durusdinium26906	K00521
Durusdinium51258	K00737
Durusdinium61279	K22443
Durusdinium5436	K11481
Durusdinium19532	K02471
Durusdinium96633	K01081
Durusdinium9098	K08857
Durusdinium98789	K00166
Durusdinium13679	K05516
Durusdinium14363	K00898
Durusdinium12459	K01365
Durusdinium93652	K22748
Durusdinium24429	K04851
Durusdinium26929	K00901
Durusdinium11455	K00099
Durusdinium83146	K11863
Durusdinium72632	K20180
Durusdinium60656	K02184
Durusdinium74236	K22991
Durusdinium110381	K14787
Durusdinium22430	K00208
Durusdinium74085	K14648
Durusdinium17366	K05841
Durusdinium22225	K08369
Durusdinium108480	K10380
Durusdinium107685	K04905
Durusdinium7122	K01685
Durusdinium84306	K25767
Durusdinium31908	K09272
Durusdinium21692	K24937
Durusdinium74404	K12855
Durusdinium3909	K03032
Durusdinium61657	K21440
Durusdinium73843	K24942
Durusdinium9125	K11824
Durusdinium48337	K15259
Durusdinium100475	K15181
Durusdinium87782	K08857
Durusdinium4871	K03015
Durusdinium26952	K20718
Durusdinium64684	K23164
Durusdinium100194	K16175
Durusdinium8296	K24469
Durusdinium95114	K24483
Durusdinium27970	K03845
Durusdinium19156	K17710
Durusdinium21387	K01915
Durusdinium96593	K17286
Durusdinium111918	K18041
Durusdinium60761	K01868
Durusdinium60493	K12132
Durusdinium99440	K01760
Durusdinium83550	K04856
Durusdinium14026	K14768
Durusdinium20634	K03065
Durusdinium38230	K04368
Durusdinium22736	K13342
Durusdinium61227	K25460
Durusdinium71977	K06994
Durusdinium101304	K00820
Durusdinium60200	K08960
Durusdinium13610	K23438
Durusdinium1314	K03218
Durusdinium2271	K03696
Durusdinium9673	K10380
Durusdinium18771	K00606
Durusdinium17049	K15503
Durusdinium10113	K00134
Durusdinium103644	K21596
Durusdinium71831	K01913
Durusdinium23464	K20290
Durusdinium11970	K11628
Durusdinium49581	K07305
Durusdinium61303	K00128
Durusdinium60785	K24392
Durusdinium2152	K25897
Durusdinium112072	K13121
Durusdinium11064	K02874
Durusdinium66376	K13412
Durusdinium15777	K08292
Durusdinium18561	K17710
Durusdinium11967	K03362
Durusdinium111416	K00799
Durusdinium85319	K05841
Durusdinium51018	K22733
Durusdinium16164	K04523
Durusdinium18779	K10394
Durusdinium108469	K23257
Durusdinium53871	K11426
Durusdinium3042	K18059
Durusdinium84377	K06178
Durusdinium48834	K24928
Durusdinium85447	K02434
Durusdinium325	K05637
Durusdinium60010	K25778
Durusdinium79259	K10747
Durusdinium1102	K13126
Durusdinium83243	K11166
Durusdinium9929	K01647
Durusdinium28617	K00919
Durusdinium15099	K10380
Durusdinium107947	K06627
Durusdinium23587	K13513
Durusdinium51170	K13126
Durusdinium63551	K04487
Durusdinium48289	K00871
Durusdinium1630	K04957
Durusdinium11743	K05389
Durusdinium620	K10380
Durusdinium23228	K11703
Durusdinium555	K06978
Durusdinium110023	K15045
Durusdinium20660	K00382
Durusdinium980	K10396
Durusdinium96101	K06215
Durusdinium95071	K17726
Durusdinium83251	K22733
Durusdinium18482	K19683
Durusdinium72432	K16474
Durusdinium830	K15047
Durusdinium70796	K10587
Durusdinium7951	K06180
Durusdinium45784	K04077
Durusdinium105239	K11729
Durusdinium21137	K04834
Durusdinium85512	K00615
Durusdinium14771	K16186
Durusdinium61593	K14290
Durusdinium88350	K01495
Durusdinium2200	K01802
Durusdinium11605	K17086
Durusdinium49468	K17943
Durusdinium108830	K18458
Durusdinium12125	K13237
Durusdinium20874	K06180
Durusdinium38137	K03259
Durusdinium97497	K22614
Durusdinium66983	K23677
Durusdinium9770	K09020
Durusdinium77031	K00826
Durusdinium49460	K22686
Durusdinium11996	K12132
Durusdinium11160	K03120
Durusdinium17427	K10380
Durusdinium59874	K04854
Durusdinium11556	K04986
Durusdinium33567	K16302
Durusdinium92011	K07714
Durusdinium2425	K09537
Durusdinium63051	K04554
Durusdinium36253	K01825
Durusdinium77273	K15322
Durusdinium5877	K13761
Durusdinium85789	K03783
Durusdinium101222	K10799
Durusdinium270	K11087
Durusdinium76931	K01142
Durusdinium89355	K00134
Durusdinium49024	K02183
Durusdinium9974	K01285
Durusdinium101831	K13369
Durusdinium42696	K01267
Durusdinium60600	K14803
Durusdinium12393	K08869
Durusdinium6476	K10380
Durusdinium8917	K21440
Durusdinium106980	K04849
Durusdinium108962	K19199
Durusdinium39599	K10595
Durusdinium14394	K08994
Durusdinium19135	K20889
Durusdinium7610	K04838
Durusdinium60336	K01942
Durusdinium29382	K08153
Durusdinium85148	K04905
Durusdinium45568	K11204
Durusdinium71746	K16743
Durusdinium23015	K00058
Durusdinium85619	K13704
Durusdinium99971	K10301
Durusdinium97248	K09838
Durusdinium107563	K14416
Durusdinium28708	K22614
Durusdinium6536	K04550
Durusdinium109628	K13288
Durusdinium21205	K25615
Durusdinium7975	K23456
Durusdinium52011	K10277
Durusdinium48990	K15083
Durusdinium109318	K07442
Durusdinium84407	K02183
Durusdinium76739	K12402
Durusdinium9202	K04842
Durusdinium10703	K00717
Durusdinium62819	K02906
Durusdinium7148	K11995
Durusdinium10085	K07735
Durusdinium94586	K01528
Durusdinium61183	K26111
Durusdinium2259	K14724
Durusdinium6615	K08844
Durusdinium62394	K14844
Durusdinium9947	K17278
Durusdinium84629	K17535
Durusdinium86274	K04554
Durusdinium72190	K13412
Durusdinium109875	K20899
Durusdinium8354	K13611
Durusdinium30857	K07393
Durusdinium72563	K01770
Durusdinium116540	K09517
Durusdinium10407	K01074
Durusdinium42131	K06180
Durusdinium110683	K01338
Durusdinium98790	K17341
Durusdinium15573	K09571
Durusdinium102726	K14165
Durusdinium61459	K10393
Durusdinium1958	K00555
Durusdinium107466	K08900
Durusdinium7071	K10223
Durusdinium60620	K11703
Durusdinium49717	K12440
Durusdinium64083	K21067
Durusdinium74308	K00380
Durusdinium85906	K10773
Durusdinium34611	K14213
Durusdinium3504	K14403
Durusdinium59739	K00006
Durusdinium17265	K11414
Durusdinium97434	K22008
Durusdinium12018	K02471
Durusdinium64560	K22614
Durusdinium947	K13207
Durusdinium14122	K06694
Durusdinium18520	K13354
Durusdinium85495	K12182
Durusdinium8531	K04730
Durusdinium83448	K20028
Durusdinium8263	K10427
Durusdinium2160	K02977
Durusdinium25437	K03281
Durusdinium63271	K08592
Durusdinium20819	K01379
Durusdinium71987	K10477
Durusdinium72991	K08679
Durusdinium26830	K04607
Durusdinium73931	K05679
Durusdinium768	K16462
Durusdinium107897	K17550
Durusdinium60122	K16743
Durusdinium46186	K10357
Durusdinium87730	K13341
Durusdinium31797	K04460
Durusdinium48495	K07151
Durusdinium2002	K00026
Durusdinium85812	K00600
Durusdinium83834	K05665
Durusdinium65280	K00020
Durusdinium20437	K12598
Durusdinium18515	K19704
Durusdinium84226	K00380
Durusdinium101565	K11129
Durusdinium13453	K00849
Durusdinium16605	K10357
Durusdinium38176	K24228
Durusdinium49185	K00972
Durusdinium14763	K03424
Durusdinium72509	K04854
Durusdinium40784	K16608
Durusdinium3019	K13412
Durusdinium53667	K23503
Durusdinium61842	K04508
Durusdinium15651	K05592
Durusdinium18338	K01698
Durusdinium73312	K19737
Durusdinium39327	K07223
Durusdinium5709	K03798
Durusdinium72531	K03125
Durusdinium5266	K12460
Durusdinium4242	K06944
Durusdinium186	K02940
Durusdinium5162	K05592
Durusdinium17260	K23012
Durusdinium62891	K02938
Durusdinium30756	K22754
Durusdinium24694	K11000
Durusdinium83612	K21768
Durusdinium102355	K10419
Durusdinium97845	K03972
Durusdinium1686	K14683
Durusdinium109393	K00609
Durusdinium11536	K09540
Durusdinium23713	K13984
Durusdinium64040	K24205
Durusdinium9493	K04851
Durusdinium88438	K00128
Durusdinium107532	K15259
Durusdinium10315	K06961
Durusdinium86587	K12182
Durusdinium96960	K19953
Durusdinium109489	K14842
Durusdinium65392	K11086
Durusdinium23091	K10260
Durusdinium88810	K14437
Durusdinium71652	K08798
Durusdinium76433	K00545
Durusdinium26877	K00901
Durusdinium55614	K07232
Durusdinium109761	K02078
Durusdinium17622	K06642
Durusdinium73768	K02320
Durusdinium71930	K00472
Durusdinium9342	K15015
Durusdinium115446	K08765
Durusdinium108890	K26089
Durusdinium10585	K03595
Durusdinium94612	K24728
Durusdinium21721	K10380
Durusdinium110044	K12375
Durusdinium8536	K06129
Durusdinium85196	K20843
Durusdinium35375	K00318
Durusdinium92471	K00318
Durusdinium18064	K08139
Durusdinium80844	K12373
Durusdinium15969	K10799
Durusdinium100354	K03353
Durusdinium74505	K08798
Durusdinium16322	K00002
Durusdinium14889	K10380
Durusdinium85626	K00026
Durusdinium96310	K08139
Durusdinium85055	K10397
Durusdinium27439	K12042
Durusdinium77260	K06158
Durusdinium15770	K02069
Durusdinium79919	K04078
Durusdinium106557	K02471
Durusdinium379	K16726
Durusdinium45603	K10268
Durusdinium77323	K15100
Durusdinium95627	K15255
Durusdinium20055	K13412
Durusdinium19917	K05012
Durusdinium23368	K19022
Durusdinium71971	K12132
Durusdinium74070	K06688
Durusdinium2970	K00615
Durusdinium83708	K10352
Durusdinium107744	K12795
Durusdinium73170	K20028
Durusdinium108947	K11323
Durusdinium98430	K06515
Durusdinium7198	K08789
Durusdinium693	K17086
Durusdinium20971	K06617
Durusdinium36034	K08790
Durusdinium62439	K18598
Durusdinium60114	K00058
Durusdinium11067	K12831
Durusdinium48804	K12735
Durusdinium42655	K05658
Durusdinium2315	K17943
Durusdinium6410	K22753
Durusdinium18919	K04834
Durusdinium111860	K13525
Durusdinium42436	K17710
Durusdinium72102	K03107
Durusdinium54676	K03978
Durusdinium98214	K15190
Durusdinium41803	K07562
Durusdinium62199	K02146
Durusdinium71953	K00106
Durusdinium72597	K10844
Durusdinium33483	K14843
Durusdinium107459	K06901
Durusdinium352	K24140
Durusdinium12372	K00344
Durusdinium51062	K04851
Durusdinium6556	K02995
Durusdinium77700	K08746
Durusdinium60940	K04461
Durusdinium4098	K23490
Durusdinium28040	K10799
Durusdinium107904	K06627
Durusdinium106920	K01697
Durusdinium71905	K03695
Durusdinium5064	K15032
Durusdinium20453	K14816
Durusdinium69463	K22647
Durusdinium8458	K02975
Durusdinium16454	K23555
Durusdinium102619	K16675
Durusdinium48640	K03165
Durusdinium111610	K10756
Durusdinium112086	K19673
Durusdinium76174	K08303
Durusdinium107984	K18666
Durusdinium49369	K03145
Durusdinium63999	K16052
Durusdinium62485	K04855
Durusdinium59858	K07114
Durusdinium21968	K11703
Durusdinium2654	K17710
Durusdinium7189	K08738
Durusdinium25631	K25230
Durusdinium8134	K07915
Durusdinium73023	K02895
Durusdinium50227	K22762
Durusdinium72985	K22614
Durusdinium8907	K14849
Durusdinium42980	K21059
Durusdinium40103	K03021
Durusdinium50828	K00545
Durusdinium6328	K21440
Durusdinium467	K00121
Durusdinium12942	K15336
Durusdinium7912	K08654
Durusdinium74329	K08870
Durusdinium61542	K01069
Durusdinium49353	K00833
Durusdinium86470	K24826
Durusdinium107054	K06941
Durusdinium94843	K02600
Durusdinium110507	K01595
Durusdinium48556	K10799
Durusdinium13290	K21440
Durusdinium17190	K17972
Durusdinium851	K07243
Durusdinium96791	K04840
Durusdinium50336	K01192
Durusdinium51865	K09540
Durusdinium74457	K10418
Durusdinium32984	K24683
Durusdinium349	K22133
Durusdinium2927	K14079
Durusdinium28867	K22614
Durusdinium96210	K04905
Durusdinium22592	K02183
Durusdinium47581	K02991
Durusdinium7602	K09553
Durusdinium18612	K14820
Durusdinium83051	K24133
Durusdinium84630	K01198
Durusdinium66659	K14298
Durusdinium14018	K17710
Durusdinium22210	K12132
Durusdinium64595	K01382
Durusdinium103268	K14016
Durusdinium83957	K10380
Durusdinium20303	K17509
Durusdinium99464	K02706
Durusdinium12063	K17681
Durusdinium48970	K13954
Durusdinium108257	K17630
Durusdinium34480	K03782
Durusdinium112093	K20222
Durusdinium61131	K01076
Durusdinium86219	K10407
Durusdinium20402	K08493
Durusdinium21271	K24175
Durusdinium72756	K08323
Durusdinium3691	K04855
Durusdinium20010	K00306
Durusdinium86811	K17044
Durusdinium10150	K01652
Durusdinium11322	K03177
Durusdinium38206	K01473
Durusdinium2143	K12184
Durusdinium48402	K10407
Durusdinium10614	K10841
Durusdinium65069	K16675
Durusdinium109451	K02111
Durusdinium83819	K01892
Durusdinium62839	K19932
Durusdinium29504	K04482
Durusdinium42794	K24348
Durusdinium52876	K00898
Durusdinium13969	K01408
Durusdinium33824	K08272
Durusdinium20619	K03686
Durusdinium25581	K09420
Durusdinium107417	K13071
Durusdinium101069	K08835
Durusdinium74713	K00566
Durusdinium111008	K00761
Durusdinium1747	K14439
Durusdinium89031	K10408
Durusdinium22640	K05658
Durusdinium7091	K18272
Durusdinium84984	K19612
Durusdinium83132	K10380
Durusdinium75929	K07748
Durusdinium29458	K02993
Durusdinium19878	K17681
Durusdinium23832	K08825
Durusdinium4163	K12471
Durusdinium51060	K20195
Durusdinium54936	K09140
Durusdinium49111	K22763
Durusdinium65373	K00629
Durusdinium4014	K13730
Durusdinium19368	K13023
Durusdinium54437	K10380
Durusdinium84381	K01626
Durusdinium50223	K00072
Durusdinium38157	K22733
Durusdinium64632	K01354
Durusdinium60999	K10357
Durusdinium77253	K12478
Durusdinium32669	K16474
Durusdinium75246	K13293
Durusdinium18844	K05794
Durusdinium6886	K03164
Durusdinium70047	K13187
Durusdinium55984	K04371
Durusdinium60005	K16900
Durusdinium84735	K10380
Durusdinium75084	K17943
Durusdinium73145	K00058
Durusdinium7405	K03320
Durusdinium22133	K04739
Durusdinium9434	K04840
Durusdinium83125	K01867
Durusdinium2410	K04856
Durusdinium22117	K04426
Durusdinium34722	K25808
Durusdinium74898	K23845
Durusdinium91794	K00948
Durusdinium83907	K10413
Durusdinium42477	K01110
Durusdinium20942	K07953
Durusdinium16609	K15015
Durusdinium45878	K00939
Durusdinium47079	K15013
Durusdinium83880	K11982
Durusdinium107488	K09571
Durusdinium9104	K17710
Durusdinium50742	K03260
Durusdinium51914	K03264
Durusdinium109011	K18272
Durusdinium88073	K02901
Durusdinium24149	K04688
Durusdinium3310	K06180
Durusdinium12741	K14326
Durusdinium72094	K02937
Durusdinium11194	K11152
Durusdinium6133	K01735
Durusdinium74817	K03143
Durusdinium60108	K06676
Durusdinium95068	K06664
Durusdinium88710	K04794
Durusdinium96526	K17710
Durusdinium2802	K15102
Durusdinium10297	K07300
Durusdinium95703	K10380
Durusdinium636	K06188
Durusdinium83378	K24175
Durusdinium49171	K00249
Durusdinium109744	K04841
Durusdinium108274	K00545
Durusdinium60916	K08734
Durusdinium8472	K23424
Durusdinium112813	K03353
Durusdinium49362	K13755
Durusdinium84491	K13525
Durusdinium23489	K15277
Durusdinium13430	K01382
Durusdinium98055	K04994
Durusdinium32898	K19676
Durusdinium72376	K08857
Durusdinium24795	K24956
Durusdinium9520	K09493
Durusdinium2047	K04855
Durusdinium117767	K14290
Durusdinium48150	K01135
Durusdinium5867	K18798
Durusdinium9199	K04855
Durusdinium108058	K01641
Durusdinium83776	K02736
Durusdinium6253	K12869
Durusdinium51297	K13107
Durusdinium10913	K08869
Durusdinium63129	K13444
Durusdinium6210	K04460
Durusdinium113214	K05677
Durusdinium14466	K00252
Durusdinium10934	K11703
Durusdinium12935	K17619
Durusdinium9238	K15664
Durusdinium5583	K04854
Durusdinium108969	K24927
Durusdinium18001	K02295
Durusdinium72345	K17816
Durusdinium107386	K01103
Durusdinium37	K12132
Durusdinium9686	K03978
Durusdinium17788	K01128
Durusdinium72972	K00914
Durusdinium62549	K21198
Durusdinium7	K22721
Durusdinium76980	K06276
Durusdinium71878	K21866
Durusdinium17871	K20843
Durusdinium61846	K15102
Durusdinium109230	K06147
Durusdinium73461	K00022
Durusdinium50675	K10380
Durusdinium96396	K24227
Durusdinium19271	K19825
Durusdinium21732	K15285
Durusdinium9485	K07376
Durusdinium12032	K23555
Durusdinium16325	K14209
Durusdinium100627	K00759
Durusdinium83107	K10085
Durusdinium111542	K02257
Durusdinium12685	K21440
Durusdinium75541	K04718
Durusdinium111819	K15013
Durusdinium63575	K18059
Durusdinium11339	K15537
Durusdinium49809	K12013
Durusdinium1406	K15284
Durusdinium50562	K08150
Durusdinium46786	K00252
Durusdinium10826	K11000
Durusdinium106636	K05955
Durusdinium72180	K12410
Durusdinium15846	K11418
Durusdinium10610	K11858
Durusdinium6171	K02183
Durusdinium33580	K10413
Durusdinium4388	K09454
Durusdinium9049	K15429
Durusdinium8712	K18633
Durusdinium974	K02108
Durusdinium62301	K01076
Durusdinium13262	K09941
Durusdinium109226	K20302
Durusdinium107195	K01193
Durusdinium53267	K12235
Durusdinium26099	K05286
Durusdinium13409	K12193
Durusdinium49600	K16279
Durusdinium48303	K04711
Durusdinium20642	K04852
Durusdinium14206	K04308
Durusdinium49231	K14207
Durusdinium11870	K14963
Durusdinium7159	K12581
Durusdinium49139	K04910
Durusdinium48672	K15172
Durusdinium10163	K13210
Durusdinium62552	K04986
Durusdinium3377	K22755
Durusdinium62269	K03320
Durusdinium12547	K10380
Durusdinium80634	K19041
Durusdinium18251	K03593
Durusdinium22111	K20182
Durusdinium98824	K19525
Durusdinium15696	K04392
Durusdinium16623	K08794
Durusdinium53900	K12859
Durusdinium87824	K00972
Durusdinium63681	K14636
Durusdinium106653	K19760
Durusdinium62925	K10408
Durusdinium95462	K01939
Durusdinium40826	K01530
Durusdinium79242	K06174
Durusdinium94783	K16735
Durusdinium94804	K05931
Durusdinium6454	K14800
Durusdinium50021	K11252
Durusdinium22024	K15255
Durusdinium3057	K01527
Durusdinium30064	K14963
Durusdinium90775	K14319
Durusdinium76132	K01867
