Durusdinium33176	potassium:proton antiporter activity
Durusdinium32631	cell redox homeostasis
Durusdinium27063	2-acylglycerol O-acyltransferase activity
Durusdinium20471	Ectonucleoside triphosphate diphosphohydrolase 5
Durusdinium24610	phospholipid-translocating ATPase activity
Durusdinium43962	Signal peptide peptidase-like 5
Durusdinium26332	Calcium-binding protein
Durusdinium32016	protein conserved in bacteria
Durusdinium24701	asparaginase activity
Durusdinium25074	nitrite reductase (NAD(P)H) large subunit
Durusdinium43873	conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p
Durusdinium35844	mRNA capping enzyme
Durusdinium32733	AarF domain-containing protein kinase
Durusdinium30092	Sporangia induced mitogen-activated protein kinase. Source PGD
Durusdinium1135	BTB/POZ domain
Durusdinium40929	helicase superfamily c-terminal domain
Durusdinium11627	PH domain
Durusdinium28024	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
Durusdinium24744	Protein kinase. Source PGD
Durusdinium27734	intracellular protein transport
Durusdinium39447	alpha/beta hydrolase fold
Durusdinium18177	N2227
Durusdinium9184	Si ch211-117c9.1
Durusdinium31636	nucleic acid binding
Durusdinium40912	Serine/threonine phosphatases, family 2C, catalytic domain
Durusdinium30460	ubiquitin-protein transferase activity
Durusdinium31369	Macrocin-O-methyltransferase (TylF)
Durusdinium11554	Hydroxyacylglutathione hydrolase
Durusdinium41288	calcium-dependent cysteine-type endopeptidase activity
Durusdinium49804	Putative GTP-ase activating proteins for the small GTPase, ARF
Durusdinium54852	regulator of chromosome condensation (RCC1) family protein
Durusdinium23664	UPF0126 domain
Durusdinium55368	C-4 methylsterol oxidase activity
Durusdinium24626	non-haem dioxygenase in morphine synthesis N-terminal
Durusdinium30141	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium17150	Protein tyrosine kinase
Durusdinium12627	oxidosqualene cyclase activity
Durusdinium22741	DNA-3-methyladenine glycosylase I
Durusdinium22156	Carboxyvinyl-carboxyphosphonate phosphorylmutase
Durusdinium35470	SET and MYND
Durusdinium43161	NAD(P)-binding Rossmann-fold superfamily protein
Durusdinium4412	vacuolar transport
Durusdinium38202	Belongs to the peptidase C19 family
Durusdinium28444	VDE lipocalin domain
Durusdinium21690	Belongs to the UDP-glycosyltransferase family
Durusdinium38691	Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-dependent sulfide transfer from a conserved cysteine residue of the protein to a thiazole intermediate. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. May have additional roles in adaptation to various stress conditions and in DNA damage tolerance
Durusdinium9280	oxidative phosphorylation uncoupler activity
Durusdinium21955	PAP_fibrillin
Durusdinium30798	acyl-protein thioesterase
Durusdinium26129	Integral membrane protein, TerC family
Durusdinium37534	ABC transporter
Durusdinium23378	RING-like zinc finger
Durusdinium46723	belongs to the protein kinase superfamily
Durusdinium39708	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily
Durusdinium24542	protein-cysteine S-palmitoyltransferase activity
Durusdinium34566	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
Durusdinium39888	protein folding
Durusdinium52534	cysteine desulfurase activity
Durusdinium41005	sodium-dependent phosphate transmembrane transporter activity
Durusdinium17276	Ankyrin repeats (many copies)
Durusdinium40561	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Durusdinium28980	Enoyl-CoA hydratase
Durusdinium32358	-
Durusdinium41351	cation-chloride co-transporter
Durusdinium30234	Dehydratase family
Durusdinium39168	Belongs to the class-I aminoacyl-tRNA synthetase family
Durusdinium23403	helicase superfamily c-terminal domain
Durusdinium3075	serine racemase
Durusdinium43111	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium49583	TPR repeat
Durusdinium14287	60s ribosomal protein
Durusdinium18097	Signal peptidase, peptidase S26
Durusdinium22601	selenocysteine insertion sequence binding
Durusdinium30335	GIY-YIG catalytic domain
Durusdinium29517	biogenesis factor 6
Durusdinium37676	protein serine/threonine kinase activity
Durusdinium29355	PFAM alpha amylase, catalytic
Durusdinium19310	glycogenin glucosyltransferase activity
Durusdinium36099	Glycerol-3-phosphate dehydrogenase
Durusdinium29424	potassium ion transport
Durusdinium28252	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
Durusdinium39439	Peptidylprolyl isomerase
Durusdinium17134	Ubiquitin-like domain-containing CTD
Durusdinium35805	protein folding
Durusdinium43123	decanoate-CoA ligase activity
Durusdinium17636	Protein tyrosine kinase
Durusdinium10872	Flavin containing amine oxidoreductase
Durusdinium32656	RNA recognition motif
Durusdinium31534	ABC1 family
Durusdinium32512	Sir2 family
Durusdinium30821	Lysine methyltransferase
Durusdinium39828	Catechol O-methyltransferase
Durusdinium15228	kinase-like protein
Durusdinium21575	Protein tyrosine kinase
Durusdinium40698	Filamin-type immunoglobulin domains
Durusdinium34610	pseudouridine synthase activity
Durusdinium22992	Glutamine synthetase. Source PGD
Durusdinium37920	Yip1 domain
Durusdinium22929	Ribosomal protein S12/S23
Durusdinium13689	ATPase activity
Durusdinium22242	transferase activity, transferring hexosyl groups
Durusdinium52199	U3 small nucleolar ribonucleoprotein
Durusdinium36612	branched-chain-amino-acid transaminase activity
Durusdinium34813	DNA repair metallo-beta-lactamase
Durusdinium32133	Acyl CoA binding protein
Durusdinium44126	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release
Durusdinium29145	Ubiquitin carboxyl-terminal hydrolase
Durusdinium39414	transporter antisigma-factor antagonist STAS
Durusdinium32450	helicase activity
Durusdinium21394	Fatty acid desaturase
Durusdinium30523	Pfam CoA-transferase family III
Durusdinium33921	procollagen-lysine 5-dioxygenase activity
Durusdinium40388	N-terminal conserved domain of Nudc.
Durusdinium50549	Sugar (and other) transporter
Durusdinium46943	synthase
Durusdinium38382	procollagen-proline 4-dioxygenase activity
Durusdinium49049	fructose 1,6-bisphosphate 1-phosphatase activity
Durusdinium29291	ATPase, AAA family
Durusdinium17538	Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA
Durusdinium52668	3'-5' exonuclease
Durusdinium37161	chromatin silencing
Durusdinium25563	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Durusdinium34591	Pyridine nucleotide-disulphide oxidoreductase
Durusdinium14818	structural constituent of ribosome
Durusdinium25498	Cyclin-dependent protein kinase
Durusdinium34371	Catalyzes the third of the four reactions of the long- chain fatty acids elongation cycle. This endoplasmic reticulum- bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators
Durusdinium24811	PPPDE putative peptidase domain
Durusdinium17666	Pleckstrin homology domain containing, family F (with FYVE domain) member 1
Durusdinium7469	Ribosomal protein S1-like RNA-binding domain
Durusdinium30800	RWD
Durusdinium11586	Crooked neck-like protein 1
Durusdinium22750	Glycosyl transferases group 1
Durusdinium40803	AARP2CN (NUC121) domain
Durusdinium11133	Photosystem II 12 kDa extrinsic protein (PsbU)
Durusdinium46209	phosphatase 2C
Durusdinium49115	Serine/Threonine protein kinases, catalytic domain
Durusdinium50290	Belongs to the DEAD box helicase family
Durusdinium53303	Purple acid phosphatase
Durusdinium30067	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site
Durusdinium46193	Semialdehyde dehydrogenase, NAD binding domain
Durusdinium36655	GDP-mannose 4,6 dehydratase
Durusdinium36238	AarF domain-containing protein kinase
Durusdinium1187	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit
Durusdinium28316	Calcineurin-like phosphoesterase
Durusdinium18889	trimming of terminal mannose on B branch
Durusdinium37869	procollagen-lysine 5-dioxygenase activity
Durusdinium27809	Molecular chaperone DnaJ
Durusdinium37609	helicase activity
Durusdinium36984	Belongs to the DEAD box helicase family
Durusdinium38815	homolog subfamily C member
Durusdinium33506	Belongs to the DEAD box helicase family
Durusdinium21744	dynein intermediate chain binding
Durusdinium30832	aldo-keto reductase (NADP) activity
Durusdinium30566	Sulfatase-modifying factor enzyme 1
Durusdinium18403	-
Durusdinium11919	Small nuclear ribonucleoprotein
Durusdinium41365	Belongs to the PEP-utilizing enzyme family
Durusdinium69	EF-hand domain pair
Durusdinium18500	Beta-ketoacyl synthase, N-terminal domain
Durusdinium38003	UDP-glucose GDP-mannose dehydrogenase family
Durusdinium634	sulfuric ester hydrolase activity
Durusdinium17734	Actin. Source PGD
Durusdinium11421	Belongs to the mitochondrial carrier (TC 2.A.29) family
Durusdinium25123	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
Durusdinium37492	microtubule nucleation
Durusdinium36121	Glycosyl hydrolase family 1
Durusdinium5806	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Durusdinium27475	-
Durusdinium4999	DnaJ molecular chaperone homology domain
Durusdinium2150	minus-end-directed vesicle transport along microtubule
Durusdinium44710	Isochorismatase family
Durusdinium22966	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium566	protease
Durusdinium36991	PEP-utilising enzyme, TIM barrel domain
Durusdinium30306	dynactin
Durusdinium21911	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium5573	UDP-N-acetylglucosamine transferase subunit ALG13 homolog
Durusdinium39473	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium47020	protein serine/threonine phosphatase activity
Durusdinium7508	The N-acetyltransferases (NAT)are enzymes that use acetyl coenzyme A (CoA) to transfer an acetyl group to a substrate, a reaction implicated in various functions from bacterial antibiotic resistance to mammalian circadian rhythm and chromatin remodeling
Durusdinium51728	RNA recognition motif 2
Durusdinium28783	transferase activity, transferring hexosyl groups
Durusdinium28662	Threonine synthase N terminus
Durusdinium35463	Si ch211-224b1.4
Durusdinium12028	Zinc finger DHHC domain-containing protein
Durusdinium49262	4-aminobutyrate:pyruvate transaminase activity
Durusdinium36336	DUF6-domain-containing protein
Durusdinium32464	S-adenosylmethionine-dependent methyltransferase
Durusdinium23662	protein-arginine omega-N asymmetric methyltransferase activity
Durusdinium32850	Belongs to the universal ribosomal protein uS7 family
Durusdinium55000	Maintenance of mitochondrial structure and function
Durusdinium27893	ubiquitin-protein transferase activity
Durusdinium46893	Cytochrome b6-f complex iron-sulfur subunit
Durusdinium15476	-
Durusdinium9907	propanoyl-CoA C-acyltransferase activity
Durusdinium38458	Ammonium Transporter Family
Durusdinium42958	Tetratricopeptide repeat
Durusdinium52412	60S ribosomal protein L22
Durusdinium587	Nin one binding (NOB1) Zn-ribbon family protein
Durusdinium37940	-
Durusdinium14241	CDPK-related kinase
Durusdinium38430	Fatty acid desaturase
Durusdinium25907	Calcineurin-like phosphoesterase
Durusdinium33501	Formyl transferase
Durusdinium23320	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium43020	Leucine-rich repeat
Durusdinium25978	BTB POZ and MATH domain-containing protein
Durusdinium19208	Belongs to the thiolase family
Durusdinium38840	deSI-like protein At4g17486
Durusdinium29316	aldo keto reductase
Durusdinium28054	ATPase activity, coupled to transmembrane movement of substances
Durusdinium33535	Glycine-rich domain-containing protein-like
Durusdinium8099	Homodimerisation domain of SGTA
Durusdinium32249	Calcium-transporting ATPase 1, endoplasmic reticulum-type. Source PGD
Durusdinium39041	DNA polymerase
Durusdinium49422	opsin transport
Durusdinium36078	Rieske (2fe-2S)
Durusdinium24835	COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
Durusdinium23913	membrane protein, terc
Durusdinium38719	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Durusdinium1648	2OG-Fe(II) oxygenase superfamily
Durusdinium33732	phosphatase 2C
Durusdinium38433	microtubule motor activity
Durusdinium34245	phosphate ion transport
Durusdinium39792	Asparagine synthetase. Source PGD
Durusdinium29878	Amidohydrolase
Durusdinium41382	Calcium-dependent protein kinase
Durusdinium19035	Glycosyltransferase
Durusdinium50242	dynein heavy chain binding
Durusdinium39978	cyclin-dependent protein serine/threonine kinase activity
Durusdinium19537	Enoyl-(Acyl carrier protein) reductase
Durusdinium44248	prostaglandin-E synthase activity
Durusdinium39614	lipase class 3
Durusdinium40492	-
Durusdinium23689	Ankyrin repeats (many copies)
Durusdinium30962	beta-fructofuranosidase activity
Durusdinium33342	triglyceride mobilization
Durusdinium24069	NADPH:sulfur oxidoreductase activity
Durusdinium39432	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
Durusdinium13358	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium5629	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1
Durusdinium28299	AMP-binding enzyme C-terminal domain
Durusdinium28402	Regulated-SNARE-like domain
Durusdinium17776	3'-5' exonuclease
Durusdinium16653	protein transport
Durusdinium36018	Carbon-nitrogen hydrolase
Durusdinium38509	Aminotransferase class I and II
Durusdinium24568	photosynthetic electron transport chain
Durusdinium27502	Protein kinase domain
Durusdinium25627	N-terminal region of glycosyl transferase group 7
Durusdinium6896	phosphate ion transmembrane transport
Durusdinium20422	alpha-galactosidase
Durusdinium37788	MIZ/SP-RING zinc finger
Durusdinium33367	hydrolase family 20, catalytic
Durusdinium26681	Belongs to the peptidase M16 family
Durusdinium18355	bile acid:sodium symporter activity
Durusdinium24971	TatD related DNase
Durusdinium33809	Protein tyrosine kinase
Durusdinium52446	4'-phosphopantetheinyl transferase superfamily
Durusdinium47072	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium39677	Carboxylesterase family
Durusdinium20262	OB-fold nucleic acid binding domain
Durusdinium19399	Belongs to the ribose-phosphate pyrophosphokinase family
Durusdinium15307	GcpE protein
Durusdinium32097	FAD binding domain
Durusdinium24014	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
Durusdinium36445	Saccharomyces cerevisiae YGR277c
Durusdinium40631	glycyl-tRNA aminoacylation
Durusdinium37950	Acyl-protein thioesterase
Durusdinium16213	Wu fj29h11
Durusdinium44369	PITH domain
Durusdinium8229	Divalent cation transporter
Durusdinium33674	Tubulin tyrosine ligase-like family, member 5
Durusdinium34250	14-3-3 protein binding
Durusdinium1357	Source PGD
Durusdinium42758	Aspartate ammonia-lyase
Durusdinium51556	Ankyrin repeat domain 52
Durusdinium1048	RING-like zinc finger
Durusdinium14878	pseudouridine synthase activity
Durusdinium29881	GTP binding
Durusdinium1756	EF hand
Durusdinium19148	Pyruvate dehydrogenase kinase
Durusdinium26595	intracellular protein transport
Durusdinium17930	sulfuric ester hydrolase activity
Durusdinium22878	-
Durusdinium1972	gamma-glutamyl-peptidase activity
Durusdinium29121	Acetoacetyl-CoA reductase
Durusdinium28634	Calcium ion binding
Durusdinium29613	antiporter activity
Durusdinium41641	Tubulin-tyrosine ligase family protein
Durusdinium19307	Opioid growth factor receptor (OGFr) conserved region
Durusdinium37095	Type I fatty acid synthase
Durusdinium40159	SET and MYND domain-containing protein
Durusdinium19686	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
Durusdinium24487	helicase activity
Durusdinium15484	Endonuclease/Exonuclease/phosphatase family
Durusdinium40934	NADPH-hemoprotein reductase activity
Durusdinium40444	protein serine/threonine kinase activity
Durusdinium25348	ion channel activity
Durusdinium4210	splicing factor
Durusdinium34726	Prolyl oligopeptidase
Durusdinium22099	Tubulin-tyrosine ligase family
Durusdinium38178	Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
Durusdinium15874	Metallophosphoesterase
Durusdinium40300	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
Durusdinium712	Belongs to the ALAD family
Durusdinium4721	Modified RING finger domain
Durusdinium37710	RING/Ubox like zinc-binding domain
Durusdinium30650	ATP GTP binding protein-like 4
Durusdinium43227	to Saccharomyces cerevisiae CMD1 (YBR109C)
Durusdinium19986	Protein kinase domain containing protein
Durusdinium46059	guanylate cyclase activity
Durusdinium20175	cAMP-specific 3',5'-cyclic phosphodiesterase 4D. Source PGD
Durusdinium4611	mRNA cleavage involved in gene silencing by miRNA
Durusdinium40986	Glycosyl hydrolase family 3 C-terminal domain
Durusdinium38459	phosphatidylethanolamine metabolic process
Durusdinium36837	transferase activity, transferring glycosyl groups
Durusdinium44179	Links covalently the heme group to the apoprotein of cytochrome c
Durusdinium52184	axonemal central apparatus assembly
Durusdinium8617	acyl-CoA synthetase
Durusdinium35231	Acyl-coenzyme A oxidase N-terminal
Durusdinium17209	acetylcholine-gated cation-selective channel activity
Durusdinium24636	Insulinase (Peptidase family M16)
Durusdinium55434	Allomyces macrogynus ATCC 38327
Durusdinium19571	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
Durusdinium41224	synthetase
Durusdinium1937	Protein of unknown function (DUF2499)
Durusdinium30429	snRNP Sm proteins
Durusdinium32386	Serine/Threonine protein kinases, catalytic domain
Durusdinium118	CobW/HypB/UreG, nucleotide-binding domain
Durusdinium23792	LanC lantibiotic synthetase component C-like 2 (bacterial)
Durusdinium41864	calcium, potassium:sodium antiporter activity
Durusdinium25537	Protein BUD31 homolog
Durusdinium38466	protein kinase regulator activity
Durusdinium1617	phosphatase 2C
Durusdinium51699	alternative oxidase
Durusdinium40035	Neutral ceramidase
Durusdinium35803	hippo signaling
Durusdinium37764	Photosystem II 12 kDa extrinsic protein (PsbU)
Durusdinium38360	kinesin. Source PGD
Durusdinium39125	DnaJ protein homolog
Durusdinium11255	isovaleryl-CoA dehydrogenase activity
Durusdinium50483	cellular modified histidine metabolic process
Durusdinium24060	Alpha-kinase family
Durusdinium4881	ribonuclease III activity
Durusdinium36267	Belongs to the protein kinase superfamily
Durusdinium34290	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Durusdinium17288	eukaryotic translation initiation factor
Durusdinium18644	Carbamoyltransferase
Durusdinium18154	Belongs to the protein kinase superfamily
Durusdinium54328	Belongs to the thioredoxin family
Durusdinium19231	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium52004	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Durusdinium12358	palmitoyl-(protein) hydrolase activity
Durusdinium37814	Vacuolar-processing enzyme. Source PGD
Durusdinium36848	Coatomer (COPI) alpha subunit C-terminus
Durusdinium25029	positive regulation of catalytic activity in other organism involved in symbiotic interaction
Durusdinium23639	Alpha amylase, C-terminal all-beta domain
Durusdinium32949	calcium-dependent cysteine-type endopeptidase activity
Durusdinium8931	Protein kinase C terminal domain
Durusdinium31484	DNA photolyase activity
Durusdinium25946	wall-associated receptor kinase-like
Durusdinium33964	nitrile biosynthetic process
Durusdinium2690	Belongs to the 3-hydroxyisobutyrate dehydrogenase family
Durusdinium19133	Protein of unknown function (DUF726)
Durusdinium31970	metalloendopeptidase activity
Durusdinium30120	inorganic diphosphatase activity
Durusdinium29585	Nudix hydrolase
Durusdinium39300	Signal peptide peptidase
Durusdinium22017	PPIC-type PPIASE domain
Durusdinium31417	Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
Durusdinium9949	EF-hand domain
Durusdinium13596	Microtubule-binding stalk of dynein motor
Durusdinium18123	PFAM methyltransferase
Durusdinium31767	peptide-methionine (R)-S-oxide reductase activity
Durusdinium17523	UNC-50 family
Durusdinium38592	Sperm motility kinase
Durusdinium54447	GMC oxidoreductase
Durusdinium37206	ABC transporter B family member
Durusdinium29339	MMPL family
Durusdinium54	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Durusdinium50130	chromosome segregation
Durusdinium40116	secondary active sulfate transmembrane transporter activity
Durusdinium31664	delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase
Durusdinium35861	pyrimidine nucleotide-sugar transmembrane transporter activity
Durusdinium17478	Sugar-tranasporters, 12 TM
Durusdinium36486	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Durusdinium27955	MatE
Durusdinium6801	Mitochondrial inner membrane
Durusdinium7718	dynein intermediate chain
Durusdinium2461	peptide-methionine (R)-S-oxide reductase activity
Durusdinium32664	Belongs to the cysteine synthase cystathionine beta- synthase family
Durusdinium38089	calmodulin-dependent protein kinase activity
Durusdinium5929	DKCLD (NUC011) domain
Durusdinium51927	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
Durusdinium50425	protein heterodimerization activity
Durusdinium1930	mitogen-activated protein kinase
Durusdinium36666	Protein kinase domain
Durusdinium42780	protein serine/threonine kinase activity
Durusdinium40416	glycosyl transferase group 1
Durusdinium52085	NIMA-related kinase 5
Durusdinium4514	Calcyclin binding protein
Durusdinium44576	sphinganine-1-phosphate aldolase activity
Durusdinium17375	Ras palmitoyltransferase activity
Durusdinium31743	trimethylguanosine synthase
Durusdinium7791	belongs to the protein kinase superfamily
Durusdinium12768	Interconversion of serine and glycine
Durusdinium30779	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR
Durusdinium39451	1,3-beta-D-glucan synthase activity
Durusdinium18371	phosphatase
Durusdinium21592	AMP-binding enzyme C-terminal domain
Durusdinium31691	actin binding
Durusdinium40307	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium3450	ABC1 family
Durusdinium51686	transferase CAF17 homolog
Durusdinium19405	E3 ubiquitin-protein ligase
Durusdinium51767	protein disulfide isomerase activity
Durusdinium19513	oxidoreductase activity
Durusdinium9080	Serine aminopeptidase, S33
Durusdinium20333	Eukaryotic rRNA processing protein EBP2
Durusdinium1236	Alpha-amylase domain
Durusdinium17030	VPS10
Durusdinium1856	alpha/beta hydrolase fold
