Ofaveolata267237	K00627
Ofaveolata85383	K04210
Ofaveolata266582	K25202
Ofaveolata261752	K07874
Ofaveolata257342	K17659
Ofaveolata258515	K08134
Ofaveolata256838	K12035
Ofaveolata160366	K07375
Ofaveolata250647	K02183
Ofaveolata251855	K13346
Ofaveolata268898	K15255
Ofaveolata255987	K01482
Ofaveolata255920	K05052
Ofaveolata781125	K10380
Ofaveolata262506	K22790
Ofaveolata255497	K09228
Ofaveolata263896	K05605
Ofaveolata1033582	K10413
Ofaveolata85791	K09848
Ofaveolata203606	K06825
Ofaveolata157473	K08378
Ofaveolata260750	K15631
Ofaveolata264954	K10297
Ofaveolata252521	K24483
Ofaveolata1419073	K16289
Ofaveolata265067	K06825
Ofaveolata266095	K16469
Ofaveolata263079	K07827
Ofaveolata1949505	K07597
Ofaveolata1407516	K04358
Ofaveolata258058	K09562
Ofaveolata162755	K16777
Ofaveolata253877	K14018
Ofaveolata254964	K14649
Ofaveolata256519	K15183
Ofaveolata181338	K01020
Ofaveolata248182	K24342
Ofaveolata263306	K21952
Ofaveolata254393	K01619
Ofaveolata254948	K02927
Ofaveolata258061	K23297
Ofaveolata267806	K24524
Ofaveolata262203	K07937
Ofaveolata113327	K13250
Ofaveolata268774	K16353
Ofaveolata257634	K24936
Ofaveolata226441	K01017
Ofaveolata101270	K06619
Ofaveolata258220	K17759
Ofaveolata269728	K10144
Ofaveolata255253	K14304
Ofaveolata267488	K24464
Ofaveolata267342	K09469
Ofaveolata246913	K00799
Ofaveolata258902	K12385
Ofaveolata257151	K11404
Ofaveolata251587	K16681
Ofaveolata261819	K14616
Ofaveolata1032466	K04221
Ofaveolata260208	K01068
Ofaveolata263966	K00461
Ofaveolata264453	K06978
Ofaveolata258161	K09458
Ofaveolata251816	K20364
Ofaveolata251096	K22790
Ofaveolata254432	K15050
Ofaveolata262080	K24743
Ofaveolata258555	K10485
Ofaveolata234945	K21804
Ofaveolata260356	K02514
Ofaveolata269153	K05126
Ofaveolata240150	K10752
Ofaveolata207378	K04547
Ofaveolata255947	K10500
Ofaveolata252072	K24540
Ofaveolata252039	K04358
Ofaveolata268315	K25219
Ofaveolata151833	K10758
Ofaveolata216208	K16630
Ofaveolata24541	K01251
Ofaveolata247101	K14191
Ofaveolata265600	K24511
Ofaveolata251255	K10450
Ofaveolata251275	K01362
Ofaveolata261006	K17730
Ofaveolata239329	K05665
Ofaveolata244490	K07253
Ofaveolata268529	K03899
Ofaveolata257880	K06229
Ofaveolata253026	K11796
Ofaveolata269343	K20051
Ofaveolata265778	K11990
Ofaveolata250146	K10317
Ofaveolata211948	K02927
Ofaveolata214303	K04134
Ofaveolata252145	K02183
Ofaveolata268842	K06795
Ofaveolata268693	K15254
Ofaveolata251209	K22866
Ofaveolata269450	K06774
Ofaveolata180099	K19467
Ofaveolata268858	K04570
Ofaveolata258297	K10523
Ofaveolata262526	K12350
Ofaveolata268343	K21396
Ofaveolata197797	K03654
Ofaveolata255042	K04892
Ofaveolata259777	K08621
Ofaveolata250603	K04097
Ofaveolata268675	K24014
Ofaveolata237035	K08624
Ofaveolata269180	K09097
Ofaveolata269042	K07497
Ofaveolata240249	K04224
Ofaveolata268032	K17253
Ofaveolata254090	K01304
Ofaveolata256671	K10261
Ofaveolata239669	K02949
Ofaveolata267014	K10694
Ofaveolata256132	K22888
Ofaveolata264011	K01278
Ofaveolata262841	K04160
Ofaveolata263542	K13344
Ofaveolata266404	K10862
Ofaveolata225679	K05312
Ofaveolata265070	K09191
Ofaveolata267260	K23994
Ofaveolata269741	K22262
Ofaveolata268744	K04988
Ofaveolata266790	K23505
Ofaveolata260712	K08076
Ofaveolata236932	K13912
Ofaveolata265937	K01049
Ofaveolata248056	K06699
Ofaveolata258906	K03424
Ofaveolata248239	K24501
Ofaveolata226142	K00059
Ofaveolata252427	K10808
Ofaveolata244998	K13093
Ofaveolata253725	K10693
Ofaveolata260678	K05497
Ofaveolata262298	K09109
Ofaveolata261627	K20123
Ofaveolata267120	K10380
Ofaveolata265625	K17307
Ofaveolata265005	K07439
Ofaveolata264867	K10393
Ofaveolata265717	K23257
Ofaveolata245137	K24732
Ofaveolata264970	K18730
Ofaveolata250512	K11353
Ofaveolata268604	K10484
Ofaveolata259004	K14725
Ofaveolata264593	K04615
Ofaveolata208634	K08465
Ofaveolata246670	K18592
Ofaveolata240964	K04079
Ofaveolata258658	K07763
Ofaveolata265723	K08853
Ofaveolata242860	K09500
Ofaveolata259221	K04515
Ofaveolata251712	K14566
Ofaveolata250653	K19194
Ofaveolata252332	K00600
Ofaveolata256069	K15178
Ofaveolata263269	K01017
Ofaveolata256334	K01110
Ofaveolata237290	K01456
Ofaveolata260588	K23377
Ofaveolata263390	K18624
Ofaveolata259578	K11291
Ofaveolata266731	K19532
Ofaveolata261372	K15322
Ofaveolata266964	K04464
Ofaveolata257642	K11314
Ofaveolata263900	K11170
Ofaveolata246454	K20304
Ofaveolata265044	K06835
Ofaveolata264612	K19465
Ofaveolata267747	K10477
Ofaveolata269014	K08770
Ofaveolata268476	K17592
Ofaveolata266697	K04984
Ofaveolata264397	K08202
Ofaveolata215859	K02979
Ofaveolata245306	K06134
Ofaveolata266153	K24936
Ofaveolata256540	K09326
Ofaveolata241045	K03909
Ofaveolata174159	K04148
Ofaveolata269827	K07497
Ofaveolata278094	K24506
Ofaveolata250809	K08657
Ofaveolata267626	K23939
Ofaveolata241542	K02263
Ofaveolata262576	K14079
Ofaveolata248602	K24225
Ofaveolata1904327	K16618
Ofaveolata266595	K03639
Ofaveolata261415	K23026
Ofaveolata267571	K15255
Ofaveolata246369	K22384
Ofaveolata264821	K24023
Ofaveolata256723	K11161
Ofaveolata237739	K11713
Ofaveolata256867	K04686
Ofaveolata267001	K24734
Ofaveolata269301	K07497
Ofaveolata253861	K00140
Ofaveolata246128	K02995
Ofaveolata269683	K04615
Ofaveolata266098	K14071
Ofaveolata259814	K10380
Ofaveolata239829	K02090
Ofaveolata262900	K10335
Ofaveolata254529	K16575
Ofaveolata754395	K04150
Ofaveolata258951	K20477
Ofaveolata260228	K06106
Ofaveolata35024	K12321
Ofaveolata162208	K02905
Ofaveolata1001029	K05692
Ofaveolata260064	K13912
Ofaveolata252756	K08002
Ofaveolata242359	K07375
Ofaveolata254722	K15032
Ofaveolata267750	K14944
Ofaveolata265655	K11064
Ofaveolata252581	K08076
Ofaveolata269810	K22017
Ofaveolata268686	K19464
Ofaveolata270118	K00031
Ofaveolata234888	K21392
Ofaveolata267020	K23730
Ofaveolata267734	K17545
Ofaveolata3066183	K24468
Ofaveolata269657	K20099
Ofaveolata249899	K09320
Ofaveolata249094	K14640
Ofaveolata261717	K11996
Ofaveolata243973	K14616
Ofaveolata236725	K07573
Ofaveolata245690	K04134
Ofaveolata254933	K16465
Ofaveolata255620	K23893
Ofaveolata209275	K02973
Ofaveolata258702	K24437
Ofaveolata252949	K04805
Ofaveolata264871	K09492
Ofaveolata270316	K10419
Ofaveolata249003	K04224
Ofaveolata3878	K04358
Ofaveolata269235	K08736
Ofaveolata259483	K20795
Ofaveolata231750	K11855
Ofaveolata263948	K03763
Ofaveolata258928	K06491
Ofaveolata170243	K12383
Ofaveolata253115	K21893
Ofaveolata251652	K21970
Ofaveolata159725	K11981
Ofaveolata8397	K05312
Ofaveolata269561	K12869
Ofaveolata267863	K04204
Ofaveolata267536	K12849
Ofaveolata252099	K17253
Ofaveolata131181	K01315
Ofaveolata253621	K24835
Ofaveolata86499	K19663
Ofaveolata269340	K10413
Ofaveolata250639	K05127
Ofaveolata237242	K01265
Ofaveolata235616	K17513
Ofaveolata250051	K24498
Ofaveolata259341	K06795
Ofaveolata269115	K05463
Ofaveolata256894	K12842
Ofaveolata263734	K03635
Ofaveolata260236	K16833
Ofaveolata265056	K11976
Ofaveolata267973	K16491
Ofaveolata262757	K01930
Ofaveolata268760	K05769
Ofaveolata264015	K14300
Ofaveolata261973	K09214
Ofaveolata244986	K20795
Ofaveolata252595	K14072
Ofaveolata246123	K00549
Ofaveolata260590	K22755
Ofaveolata1656918	K03320
Ofaveolata258914	K13723
Ofaveolata262088	K17602
Ofaveolata205943	K04145
Ofaveolata262559	K18407
Ofaveolata267848	K13449
Ofaveolata265812	K11787
Ofaveolata262420	K19947
Ofaveolata267181	K24354
Ofaveolata258532	K00088
Ofaveolata254877	K06689
Ofaveolata266676	K05627
Ofaveolata1118142	K24506
Ofaveolata257694	K15167
Ofaveolata118092	K13239
Ofaveolata257660	K00878
Ofaveolata269776	K08868
Ofaveolata211992	K12805
Ofaveolata258729	K18402
Ofaveolata172183	K24683
Ofaveolata268638	K13912
Ofaveolata266562	K10260
Ofaveolata256021	K23915
Ofaveolata260816	K17498
Ofaveolata269718	K24155
Ofaveolata266172	K10712
Ofaveolata259461	K10442
Ofaveolata231518	K04592
Ofaveolata225058	K01358
Ofaveolata262414	K05048
Ofaveolata268252	K11446
Ofaveolata239360	K14379
Ofaveolata217939	K05127
Ofaveolata262913	K08439
Ofaveolata252409	K24431
Ofaveolata248730	K00417
Ofaveolata268497	K16353
Ofaveolata262812	K17535
Ofaveolata265613	K01953
Ofaveolata248799	K20002
Ofaveolata253887	K01357
Ofaveolata240402	K24936
Ofaveolata194660	K04841
Ofaveolata236287	K17352
Ofaveolata259361	K12893
Ofaveolata266607	K04984
Ofaveolata263533	K03858
Ofaveolata260293	K05093
Ofaveolata262588	K24610
Ofaveolata238556	K09377
Ofaveolata267616	K10380
Ofaveolata256520	K02375
Ofaveolata213647	K04097
Ofaveolata254283	K06468
Ofaveolata265710	K16288
Ofaveolata252717	K14012
Ofaveolata253551	K24254
Ofaveolata268979	K23380
Ofaveolata268374	K06027
Ofaveolata226845	K14072
Ofaveolata221336	K03768
Ofaveolata264815	K08375
Ofaveolata249355	K00249
Ofaveolata262251	K03097
Ofaveolata255354	K01164
Ofaveolata267098	K12572
Ofaveolata250779	K07436
Ofaveolata263781	K08865
Ofaveolata244902	K01019
Ofaveolata267177	K10699
Ofaveolata250667	K18274
Ofaveolata259484	K24229
Ofaveolata259433	K02943
Ofaveolata248625	K10260
Ofaveolata264941	K10356
Ofaveolata266452	K00486
Ofaveolata172177	K01869
Ofaveolata34900	K23342
Ofaveolata267405	K24483
Ofaveolata268033	K10799
Ofaveolata149452	K06841
Ofaveolata253316	K15131
Ofaveolata263924	K03175
Ofaveolata249226	K03283
Ofaveolata264843	K12858
Ofaveolata259045	K18274
Ofaveolata247425	K03242
Ofaveolata261781	K11292
Ofaveolata263727	K15162
Ofaveolata267255	K17924
Ofaveolata266584	K17307
Ofaveolata264505	K11137
Ofaveolata268557	K00627
Ofaveolata267956	K09651
Ofaveolata255711	K07375
Ofaveolata261562	K01277
Ofaveolata258882	K08202
Ofaveolata268801	K04362
Ofaveolata268667	K07204
Ofaveolata268046	K11836
Ofaveolata265424	K05305
Ofaveolata262058	K02995
Ofaveolata1357525	K22815
Ofaveolata185970	K08450
Ofaveolata158125	K12811
Ofaveolata262519	K06754
Ofaveolata257883	K23500
Ofaveolata264893	K04592
Ofaveolata252381	K13221
Ofaveolata258628	K19201
Ofaveolata265534	K02367
Ofaveolata261133	K17804
Ofaveolata257489	K23398
Ofaveolata225118	K04990
Ofaveolata265671	K19022
Ofaveolata269439	K24431
Ofaveolata256542	K10842
Ofaveolata263712	K13336
Ofaveolata268318	K10885
Ofaveolata264699	K10656
Ofaveolata261049	K03671
Ofaveolata265733	K06753
Ofaveolata255946	K10579
Ofaveolata262421	K00588
Ofaveolata265375	K17592
Ofaveolata262977	K01969
Ofaveolata249708	K15381
Ofaveolata267016	K02355
Ofaveolata269532	K09402
Ofaveolata263392	K19755
Ofaveolata269214	K10448
Ofaveolata263769	K01025
Ofaveolata268451	K04874
Ofaveolata19309	K05181
Ofaveolata209301	K17780
Ofaveolata225860	K18274
Ofaveolata263797	K14638
Ofaveolata193665	K02901
Ofaveolata248930	K17904
Ofaveolata330258	K01054
Ofaveolata261015	K19176
Ofaveolata269186	K04989
Ofaveolata255166	K09637
Ofaveolata254663	K00857
Ofaveolata254065	K02144
Ofaveolata252759	K00901
Ofaveolata238498	K23879
Ofaveolata263218	K08509
Ofaveolata264642	K15112
Ofaveolata262204	K11791
Ofaveolata197082	K04919
Ofaveolata266758	K00857
Ofaveolata256935	K08547
Ofaveolata267429	K04676
Ofaveolata267349	K23113
Ofaveolata261699	K20909
Ofaveolata258867	K06842
Ofaveolata230070	K20899
Ofaveolata185402	K07497
Ofaveolata247883	K19179
Ofaveolata256335	K09219
Ofaveolata268805	K04988
Ofaveolata262953	K24928
Ofaveolata268817	K01316
Ofaveolata261111	K04203
Ofaveolata260453	K05181
Ofaveolata265709	K13240
Ofaveolata259285	K00134
Ofaveolata257110	K22745
Ofaveolata226097	K06054
Ofaveolata258380	K06766
Ofaveolata845214	K12035
Ofaveolata262304	K07763
Ofaveolata264736	K15191
Ofaveolata266548	K09848
Ofaveolata268935	K06911
Ofaveolata113260	K02964
Ofaveolata262737	K06675
Ofaveolata258094	K03857
Ofaveolata266924	K23538
Ofaveolata257361	K08805
Ofaveolata263017	K04150
Ofaveolata259730	K15719
Ofaveolata241903	K04840
Ofaveolata260187	K10443
Ofaveolata256848	K24792
Ofaveolata267195	K20689
Ofaveolata254774	K05614
Ofaveolata263516	K18592
Ofaveolata56514	K15839
Ofaveolata252675	K16469
Ofaveolata264170	K12879
Ofaveolata266141	K07497
Ofaveolata261984	K06093
Ofaveolata262754	K07208
Ofaveolata168214	K07375
Ofaveolata268244	K19179
Ofaveolata268762	K10901
Ofaveolata269297	K23908
Ofaveolata249428	K17480
Ofaveolata256835	K23880
Ofaveolata210317	K14464
Ofaveolata264618	K19529
Ofaveolata265560	K20880
Ofaveolata260014	K07376
Ofaveolata265828	K08269
Ofaveolata268833	K16489
Ofaveolata262477	K10599
Ofaveolata261530	K16482
Ofaveolata248303	K09228
Ofaveolata264097	K08076
Ofaveolata207591	K23958
Ofaveolata258701	K17285
Ofaveolata217941	K04223
Ofaveolata213872	K11279
Ofaveolata259955	K23568
Ofaveolata182169	K04142
Ofaveolata265306	K16605
Ofaveolata269586	K04988
Ofaveolata265461	K13750
Ofaveolata248252	K11655
Ofaveolata156894	K04201
Ofaveolata263638	K11125
Ofaveolata261791	K10380
Ofaveolata115793	K09658
Ofaveolata252986	K14575
Ofaveolata263229	K14776
Ofaveolata264280	K04575
Ofaveolata244047	K05020
Ofaveolata268820	K14792
Ofaveolata255109	K08202
Ofaveolata260709	K12366
Ofaveolata265607	K18733
Ofaveolata260098	K01805
Ofaveolata245515	K00236
Ofaveolata262750	K24978
Ofaveolata251917	K24469
Ofaveolata248597	K16753
Ofaveolata263980	K11547
Ofaveolata267295	K20049
Ofaveolata255660	K13108
Ofaveolata1598003	K05673
Ofaveolata161291	K08498
Ofaveolata261854	K16329
Ofaveolata264333	K06560
Ofaveolata260931	K06841
Ofaveolata266868	K13047
Ofaveolata3144065	K02112
Ofaveolata269844	K02599
Ofaveolata246628	K23325
Ofaveolata264248	K16506
Ofaveolata250700	K09365
Ofaveolata262296	K24550
Ofaveolata264600	K10401
Ofaveolata259365	K00939
Ofaveolata264535	K18666
Ofaveolata90852	K02112
Ofaveolata249327	K05610
Ofaveolata263481	K12021
Ofaveolata235278	K07827
Ofaveolata260348	K00461
Ofaveolata215488	K07855
Ofaveolata46648	K11253
Ofaveolata253570	K11994
Ofaveolata226081	K00408
Ofaveolata267047	K07369
Ofaveolata258775	K12035
Ofaveolata263707	K18274
Ofaveolata1878973	K08193
Ofaveolata251511	K05023
Ofaveolata253271	K03233
Ofaveolata257578	K23312
Ofaveolata260716	K14284
Ofaveolata263688	K08375
Ofaveolata269122	K01135
Ofaveolata255172	K07466
Ofaveolata224990	K22071
Ofaveolata268921	K19947
Ofaveolata255508	K19328
Ofaveolata260286	K08375
Ofaveolata251893	K12351
Ofaveolata260579	K01598
Ofaveolata253138	K24835
Ofaveolata261569	K01362
Ofaveolata252359	K00472
Ofaveolata269564	K23851
Ofaveolata269240	K19672
Ofaveolata225650	K02953
Ofaveolata259945	K10454
Ofaveolata261170	K04239
Ofaveolata260539	K23287
Ofaveolata232296	K04239
Ofaveolata262067	K24512
Ofaveolata259116	K05181
Ofaveolata66144	K09657
Ofaveolata246939	K09224
Ofaveolata250602	K00248
Ofaveolata254506	K03175
Ofaveolata247237	K01310
Ofaveolata267976	K10588
Ofaveolata255757	K03213
Ofaveolata259352	K07888
Ofaveolata161847	K19934
Ofaveolata259386	K04424
Ofaveolata258072	K21413
Ofaveolata257441	K12666
Ofaveolata266484	K14312
Ofaveolata267340	K10626
Ofaveolata264928	K00816
Ofaveolata265760	K00699
Ofaveolata256946	K24517
Ofaveolata164446	K07297
Ofaveolata235565	K13236
Ofaveolata257581	K10637
Ofaveolata260270	K14387
Ofaveolata61406	K08451
Ofaveolata254463	K05692
Ofaveolata1136603	K17547
Ofaveolata257133	K24062
Ofaveolata268045	K12384
Ofaveolata263192	K19511
Ofaveolata222493	K11838
Ofaveolata233983	K16506
Ofaveolata262085	K04239
Ofaveolata256464	K00884
Ofaveolata1998829	K05863
Ofaveolata263757	K13863
Ofaveolata117921	K13907
Ofaveolata267990	K10408
Ofaveolata262799	K01672
Ofaveolata269324	K04463
Ofaveolata20450	K06758
Ofaveolata267079	K07914
Ofaveolata259329	K02437
Ofaveolata252435	K13868
Ofaveolata256266	K11319
Ofaveolata246031	K15290
Ofaveolata1605813	K07497
Ofaveolata260868	K00364
Ofaveolata253462	K07071
